#graph,cycle length=3,cycle length=4,cycle length=5,cycle length=6,cycle length=7,cycle length=8,cycle length=9,cycle length=10,# nodes,# edges,max degree,y
531,16,38,40,61,138,229,426,130,74,120,7,3
532,19,32,33,76,125,273,407,176,44,85,6,3
533,14,43,54,189,336,762,1458,986,44,99,6,3
534,48,66,98,130,143,126,70,41,40,84,6,3
535,18,37,59,148,280,522,768,435,44,92,7,3
536,28,66,131,262,453,852,1755,899,42,89,8,3
537,21,41,94,154,164,268,347,77,43,88,7,3
538,32,53,61,47,28,24,12,0,41,92,6,3
539,11,15,16,46,73,112,150,89,49,92,6,3
540,6,22,12,11,8,10,10,8,84,76,6,3
541,35,64,110,194,281,425,602,354,44,101,7,3
542,21,21,10,4,0,0,0,0,42,76,6,3
543,26,29,22,8,0,0,0,0,41,79,6,3
544,26,29,22,8,0,0,0,0,41,77,6,3
545,24,25,20,12,4,0,0,0,44,82,6,3
546,18,60,98,243,494,700,414,100,39,82,6,3
547,13,13,8,4,0,0,0,0,25,45,5,3
548,17,13,8,4,0,0,0,0,25,47,5,3
549,12,11,6,2,0,0,0,0,26,45,5,3
550,8,22,26,32,20,8,0,8,52,98,6,3
551,49,71,112,214,386,656,690,156,41,86,7,3
552,25,24,13,8,2,0,0,0,45,82,6,3
553,18,27,53,98,172,254,311,210,31,64,6,3
554,13,13,8,4,0,0,0,0,26,46,5,3
555,17,13,8,4,0,0,0,0,26,48,5,3
556,7,20,19,22,27,42,28,12,52,99,6,3
557,7,21,28,57,65,87,103,78,50,93,6,3
558,3,13,0,4,4,12,12,16,38,67,6,3
559,2,14,3,7,10,12,12,8,37,67,6,3
560,15,17,12,6,0,0,0,0,27,52,5,3
561,13,13,8,4,0,0,0,0,29,55,6,3
562,5,29,14,48,32,49,20,0,48,80,7,3
563,6,18,14,20,16,20,24,16,40,74,6,3
564,15,14,9,6,2,0,0,0,19,34,5,3
565,20,38,78,169,351,700,1333,870,14,33,6,3
566,19,40,83,184,386,784,1412,969,13,31,6,3
567,25,55,137,374,984,2241,4251,2745,13,34,7,3
568,5,21,15,23,26,36,52,15,44,85,6,3
569,16,17,10,18,10,7,12,22,45,78,6,3
570,18,20,10,18,10,7,12,22,46,82,6,3
571,12,16,8,26,10,4,8,17,47,79,5,3
572,12,17,12,29,14,7,12,19,47,82,6,3
573,23,46,60,152,137,94,61,10,42,90,6,3
574,24,55,97,191,427,559,209,126,51,110,6,3
575,15,15,18,27,30,34,38,38,27,51,5,3
576,14,14,17,26,30,34,38,38,27,52,6,3
577,4,8,8,6,16,24,38,38,60,103,6,3
578,15,15,18,27,30,34,38,38,28,53,6,3
579,24,31,24,27,18,23,45,32,38,75,7,3
580,33,57,101,150,206,186,187,98,23,53,7,3
581,18,27,43,56,71,42,21,7,18,37,6,3
582,38,59,77,131,161,276,492,568,45,97,7,3
583,22,30,24,29,32,26,12,0,21,45,6,3
584,23,24,17,6,0,0,0,0,35,71,7,3
585,25,32,42,39,16,8,0,0,24,51,6,3
586,25,32,31,37,43,53,62,54,21,42,5,3
587,23,29,35,43,35,41,54,46,21,42,7,3
588,21,26,24,25,28,23,18,12,31,62,5,3
589,26,27,30,56,109,194,314,352,27,56,6,3
590,3,18,7,20,9,16,6,0,51,98,6,3
591,31,45,45,55,39,31,40,20,36,78,7,3
592,13,28,35,46,72,119,96,0,46,72,6,3
593,35,61,144,260,519,981,747,357,52,114,8,3
594,16,30,47,54,66,68,83,24,44,90,7,3
595,25,43,71,74,102,148,188,82,45,91,8,3
596,41,78,183,363,764,1570,1535,628,52,116,8,3
597,8,30,54,121,217,420,352,177,55,100,7,3
598,10,43,49,76,104,11,17,0,51,95,9,3
599,8,37,23,122,34,405,266,312,48,78,8,3
